latitude;longitude;station;;
68.08422;27.18501;Sodankylä_Vuotso;;1
68.41506;27.41326;Inari_Saariselkä_matkailukeskus;;none
68.43394;27.4441;Inari_Saariselkä_Kaunispää;;1
68.478;28.30123;Inari_Raja-Jooseppi;;1
67.74858;29.61132;Salla_Värriötunturi;;none
69.03905;20.81379;Enontekiö_Kilpisjärvi_kyläkeskus;;1
69.04277;20.85091;Enontekiö_Kilpisjärvi_Saana;;1
68.60301;23.57595;Enontekiö_Näkkälä;;1
68.90296;25.73646;Inari_Angeli_Lintupuoliselkä;;1
68.61335;27.41897;Inari_Ivalo_lentoasema;;1
69.75637;27.00678;Utsjoki_Kevo;;1
70.08203;27.8965;Utsjoki_Nuorgam;;1
69.07219;27.4925;Inari_Väylä;;1
69.14089;27.26567;Inari_Kaamanen;;none
68.84928;28.29911;Inari_Nellim;;1
69.5825;28.89409;Inari_Kirakkajärvi;;1
60.4846;25.08207;Järvenpää_Sorto;;none
60.62773;25.19342;Mäntsälä_Hirvihaara;;1
60.21935;25.17268;Helsinki_Vuosaari_Käärmeniementie;;none
60.97465;25.6202;Lahti_Sopenkorpi;;none
60.10121;25.19439;Sipoo_Itätoukki;;1
61.13663;21.51533;Rauma_Pyynpää;;none
67.95829;23.68449;Muonio_kirkonkylä;;1
60.48595;26.59209;Pyhtää_lentokenttä;;1
65.99763;29.22268;Kuusamo_Välikangas;;none
63.99618;28.05972;Sotkamo_Tuhkakylä;;1
66.15344;24.9901;Tervola_Loue;;1
64.21678;27.75194;Kajaani_Petäisenniska;;1
69.757;27.012;Utsjoki_Kevo_Kevojärvi;;none
69.04851;27.75679;Inari_Seitalaassa;;1
66.57283;25.84865;Rovaniemi_lentoasema_AWOS;;1
62.39332;25.68862;Jyväskylä_lentoasema_AWOS;;1
61.52242;28.18491;Puumala_kirkonkylä;;1
60.20867;25.1959;Helsinki_Vuosaari_satama;;1
60.09136;19.9291;Maarianhamina_Länsisatama;;1
60.11584;20.29765;Lumparland_Långnäs_satama;;1
61.50124;23.76478;Tampere_Tampella;;none
67.99746;24.20955;Kittilä_Lompolonvuoma;;1
66.1716;29.13646;Kuusamo_Ruka_Talvijärvi;;none
60.29128;24.56782;Espoo_Nuuksio;;1
60.17797;24.78743;Espoo_Tapiola;;1
;;;;168
