Kemiönsaari Vänö 	100945	114	2743	59.87	22.19	10	weather	1990
Kirkkonummi Mäkiluoto 	100997	331	2794	59.92	24.35	4	weather	1989
Kittilä Kenttärova 	101987	8312	2824	67.99	24.24	347	weather	2002
Kittilä Lompolonvuoma 	778135	8303	2764	68	24.21	270	weather, air quality (FMI)	2013
Kittilä Matorova 	101985	8310	2882	68	24.24	339	weather, air quality (FMI)	1995
Kittilä Pakatti 	101990	8315	2860	67.67	24.93	179	weather	2009
Kittilä Pokka 	101994	8404	2717	68.17	25.78	275	weather	1971
Kittilä airport 	101986	8311	2720	67.69	24.86	195	weather	1999
Kokemäki Tulkkila 	101103	1140	2937	61.25	22.35	38	weather	1912
Kokkola Santahaka 	101675	4214	2852	63.84	23.1	5	weather	2007
Kokkola Tankar 	101661	4109	2721	63.95	22.85	5	weather	1889
Korsnäs Bredskäret 	101479	3018	2780	62.93	21.18	5	weather	1991
Kotka Haapasaari 	101042	601	2967	60.29	27.18	4	weather	1986
Kotka Rankki 	101030	501	2976	60.38	26.96	11	weather	1933
Kouvola Anjala 	101194	1504	2830	60.7	26.81	31	weather	1941
Kouvola Utti Lentoportintie 	101219	1529	2956	60.89	26.93	96	weather	1944
Kouvola Utti airport 	101191	1501	2966	60.9	26.95	102	weather	1944
Kristiinankaupunki lighthouse 	101268	2014	2752	62.2	21.17	0	weather	1997
Kruunupyy Kokkola-Pietarsaari airport 	101662	4201	2903	63.73	23.14	25	weather	1960
Kuhmo Kalliojoki 	101773	4901	2799	64.3	30.17	196	weather	1997
Kumlinge parish 	100928	23	2790	60.26	20.75	23	weather	2000
Kuopio Maaninka 	101572	3603	2788	63.14	27.31	91	weather	1930
Kuopio Ritoniemi 	101580	3611	2732	62.8	27.9	86	weather	1980
Kuopio Savilahti 	101586	3617	2955	62.89	27.63	87	weather	2005
Kustavi Isokari 	101059	1016	2964	60.72	21.03	5	weather	1974
Kuusamo Juuma 	101899	6814	2749	66.32	29.4	298	weather, air quality (FMI)	1989
Kuusamo Kiutaköngäs 	101887	6802	2811	66.37	29.31	167	weather	1966
Kuusamo Ruka Talvijärvi 	806428	6817	2760	66.17	29.14	306	weather	2013
Kuusamo Rukatunturi 	101897	6812	2868	66.17	29.15	497	weather	1990
Kuusamo Välikangas 	107081			66	29.23	268	weather	2019
Kuusamo airport 	101886	6801	2869	65.99	29.23	265	weather	1908
Kökar Bogskär 	100921	16	2979	59.5	20.35	4	weather	1982
Lahti Sopenkorpi 	104796	1441		60.97	25.62	100	weather	2016
Lappeenranta Hiekkapakka 	101252	1716	2919	61.2	28.47	77	weather	2009
Lappeenranta Konnunsuo 	101246	1710	2733	61.04	28.56	46	weather	1991
Lappeenranta airport 	101237	1701	2958	61.04	28.13	104	weather	1950
Lemland Nyhamn 	100909	3	2980	59.96	19.95	9	weather	1958
Lieksa Lampela 	101636	3904	2796	63.32	30.05	99	weather	1946
Liperi Joensuu airport 	101608	3801	2929	62.66	29.64	112	weather	1955
Liperi Tuiskavanluoto 	101628	3821	2793	62.55	29.67	78	weather	1997
Lohja Porla 	100974	307	2706	60.24	24.05	35	weather	1949
Loviisa Orrengrund 	101039	510	2992	60.27	26.45	1	weather	1974
Luhanka Judinsalo 	101362	2426	2765	61.7	25.51	80	weather	1990
Lumparland Långnäs harbour 	151048	12	2724	60.12	20.3	10	weather	2012
Maalahti Strömmingsbådan 	101481	3020	2781	62.98	20.74	2	weather	1997
Maarianhamina Lotsberget 	107383			60.09	19.94	40	weather	2021
Mariehamn West Harbour 	151029	26	2997	60.09	19.93	2	weather	2012
Mikkeli airport AWOS 	855522			61.69	27.21	101	weather	1959
Mikkeli airport 	101398	2602	2947	61.69	27.2	99	weather	1951
Multia Karhila 	101536	3317	2927	62.51	24.81	227	weather	2008
Muonio Laukukero 	101982	8307	2820	68.06	24.03	760	weather	1996
Muonio Oustajärvi 	106435	8211	2823	67.95	23.71	240	weather	2013
