station_id,station,lat,lon
100539,Kemi Ajos,65.67337,24.51526
100540,Raahe Lapaluoto,64.6663,24.40708
100662,Helsinki Kallio 2,60.18739,24.9506
100669,Porvoo Emäsalo Vaarlahti,60.20579,25.62509
100683,Porvoo Kilpilahti satama,60.303725,25.549164
100691,Espoo Leppävaara Läkkisepänkuja,60.22024,24.81133
100723,Espoo Luukki,60.31439,24.68486
100742,Helsinki Mannerheimintie,60.16964,24.93924
100761,Kotka Kuusenkari,60.2721,27.1075
100762,Helsinki Mäkelänkatu,60.19644,24.95198
100763,Vantaa Tikkurila Neilikkatie,60.28995,25.03953
100803,Helsinki Vartiokylä Huivipolku,60.22393,25.10244
100823,Kaarina Kaarina,60.40831,22.37835
100824,Naantali keskusta Asematori,60.46744,22.0284
100845,Turku Ruissalo Saarontie,60.42532,22.09611
100882,Kuopio Haminalahti,62.8497,27.5288
100907,Jomala Maarianhamina lentoasema,60.127351,19.900379
100908,Parainen Utö,59.779094,21.374788
100909,Lemland Nyhamn,59.959108,19.953736
100917,Jomala Jomalaby,60.178236,19.986864
100919,Hammarland Märket,60.30098,19.13142
100921,Kökar Bogskär,59.504544,20.347475
100924,Parainen Fagerholm,60.111626,21.698278
100928,Kumlinge kirkonkylä,60.258229,20.746975
100929,Maarianhamina Badhusberget,60.100976,19.92564
100932,Hanko Russarö,59.773633,22.948683
100934,Kaarina Yltöinen,60.386903,22.551826
100945,Kemiönsaari Vänö,59.86949,22.193427
100946,Hanko Tulliniemi,59.808642,22.912464
100947,Turku Rajakari,60.37788,22.0964
100949,Turku Artukainen,60.454391,22.178695
100951,Kemiönsaari Kemiö,60.171231,22.757684
100953,Hanko Tvärminne,59.843831,23.248587
100955,Salo Kärkkä,60.373921,23.112918
100963,Lohja Leppäkorpi,60.491373,23.766286
100965,Raasepori Jussarö,59.820758,23.57309
100967,Salo Kiikala lentokenttä,60.464154,23.649757
100968,Vantaa Helsinki-Vantaan lentoasema,60.329368,24.97274
100969,Inkoo Bågaskär,59.931136,24.014082
100971,Helsinki Kaisaniemi,60.17523,24.94459
100974,Lohja Porla,60.244455,24.049514
100976,Vihti Maasoja,60.418755,24.398622
100996,Helsinki Harmaja,60.10512,24.97539
100997,Kirkkonummi Mäkiluoto,59.919823,24.350229
101000,Espoo Latokaski,60.17771,24.64009
101004,Helsinki Kumpula,60.203071,24.961305
101009,Helsinki Malmi lentokenttä,60.25299,25.04549
101022,Porvoo Kalbådagrund,59.985683,25.598788
101023,Porvoo Emäsalo,60.20382,25.62546
101028,Porvoo Harabacka,60.391715,25.607297
101030,Kotka Rankki,60.375377,26.958926
101039,Loviisa Orrengrund,60.274765,26.447587
101042,Kotka Haapasaari,60.286758,27.184825
101044,Pori lentoasema,61.460112,21.808395
101049,Uusikaupunki Itätulli,60.801833,21.424778
101059,Kustavi Isokari,60.722198,21.02681
101061,Rauma Kylmäpihlaja,61.14475,21.30273
101065,Turku lentoasema,60.515647,22.279155
101068,Kokemäki Rausenkulma,61.26002,22.22752
101075,Huittinen Sallila,61.02353,22.69863
101093,Pöytyä Yläne,60.870472,22.386111
101103,Kokemäki Tulkkila,61.25294,22.34613
101104,Jokioinen Ilmala,60.813972,23.49825
101116,Nokia Tottijärvi,61.39648,23.33637
101118,Pirkkala Tampere-Pirkkala lentoasema,61.419402,23.622561
101124,Tampere Härmälä,61.465606,23.746783
101128,Somero Salkola,60.64668,23.80559
101130,Hyvinkää Hyvinkäänkylä,60.595889,24.802972
101135,Vihti Hiiskula,60.51583,24.52403
101143,Hämeenlinna Pirttikoski,61.006648,23.920059
101149,Nurmijärvi Röykkä,60.508722,24.65375
101150,Hämeenlinna Katinen,60.999201,24.491625
101151,Hattula Lepaa,61.114537,24.324488
101154,Hämeenlinna Lammi Pappila,61.054083,25.038444
101185,Asikkala Pulkkilanharju,61.26521,25.520206
101188,Hämeenlinna Kotinen,61.23993,25.06506
101191,Kouvola Utti lentoasema,60.898392,26.948819
101194,Kouvola Anjala,60.6965,26.811056
101196,Heinola Asemantaus,61.200083,26.049667
101211,Kouvola Voikoski,61.25137,26.77904
101219,Kouvola Utti Lentoportintie,60.889092,26.929293
101231,Virolahti Koivuniemi,60.527197,27.672743
101237,Lappeenranta lentoasema,61.040298,28.129162
101246,Lappeenranta Konnunsuo,61.038791,28.563954
101248,Ruokolahti Kotaniemi,61.367507,28.67649
101252,Lappeenranta Hiekkapakka,61.1982,28.47308
101254,Parikkala Koitsanlahti,61.444667,29.461083
101256,Kaskinen Sälgrund,62.333816,21.190813
101257,Merikarvia Tuorila,61.84847,21.65092
101258,Isojoki Kärjenkoski,62.130278,21.698722
101262,Teuva Kauppilankylä,62.492056,21.758472
101267,Pori Tahkoluoto satama,61.630419,21.376203
101268,Kristiinankaupunki Majakka,62.20324,21.16983
101272,Karvia Alkkia,62.183286,22.799827
101285,Kurikka Hirvijärvi,62.47295,22.909706
101289,Kauhajoki Kuja-Kokko,62.413445,22.183722
101291,Kankaanpää Niinisalo lentokenttä,61.838642,22.463678
101305,Alavus Sulkavankylä,62.44881,23.55334
101310,Virrat Äijänneva,62.327833,23.542283
101311,Tampere Siilinkari,61.517566,23.753878
101315,Jämsä Halli lentoasema,61.855507,24.804592
101317,Juupajoki Hyytiälä,61.84591,24.286964
101338,Jämsä Halli Lentoasemantie,61.85959,24.814833
101339,Jyväskylä lentoasema,62.397585,25.670867
101342,Sysmä Joutsjärvi,61.485278,25.837361
101352,Jyväskylä Muuratjärvi,62.156848,25.42166
101362,Luhanka Judinsalo,61.704484,25.505293
