Station ID,Name,Latitude,Longitude,Road Number,Municipality,Province
C01695,st101_Espoo_Otasolmu,60.17734,24.827451,,,
C01696,st101_Espoo_Keilaniemi_puomi_itä,60.178085,24.826915,,,
C01697,st101_Espoo_Miestentie,60.17877,24.826491,,,
C01698,st101_Espoo_Tekniikantie,60.179239,24.823864,,,
C01699,st101_Espoo_Innopoli,60.182346,24.815092,,,
C01700,st101_Espoo_Keilaranta,60.177042,24.830122,,,
C01701,st101_Espoo_Kuusisaarentie,60.17799,24.829302,,,
C01702,vt4_Järvenpää_Isokytö,60.483134,25.138578,,,
C01706,vt1_Helsinki_Munkkiniemi,60.202314,24.864164,,,
C01707,vt1_Espoo_Friisinmäki,60.208125,24.795545,,,
C01708,vt1_Espoo_Sinimäki,60.206319,24.763325,,,
C01709,vt1_Espoo_Sepänkylä,60.200866,24.729465,,,
C01710,vt1_Espoo_Tuomarila,60.205733,24.695018,,,
C01711,vt1_Espoo_Kirkkojärvi,60.211645,24.676047,,,
C01712,vt1_Espoo_Lommila,60.215818,24.66102,,,
C01713,vt4_Kerava_Kytömaa,60.426274,25.124371,,,
C01715,vt3_Klaukkala,60.385364,24.815256,,,
C01716,vt3_Nurmijärvi,60.455953,24.847195,,,
C01952,Vuosaaren_varareitti_kam1,60.232524,25.132856,,,
C01953,Vuosaaren_varareitti_kam2,60.225067,25.137198,,,
C01954,Vuosaaren_varareitti_kam3,60.222458,25.149732,,,
C01955,vt25_Mäntsälä_Keravanjärvi,60.61737,25.093768,,,
C02503,st185_Raisio_Nesteentie,60.464094,22.107171,,,
C02504,vt11_Tervahauta,61.476571,22.575119,,,
C02505,vt23_Pomarkku,61.701606,22.013872,,,
C02506,vt2_Loimaa_Leppijärvi,61.002959,23.113492,,,
C02507,vt8_Laitila_Nästi,60.798274,21.857323,,,
C02508,kt52_Somero,60.614068,23.527701,,,
C02509,vt9_Aura_Säästökallio,60.64203,22.552335,,,
C02511,st110_Salo_Kitula,60.380729,23.575594,,,
C02512,st110_Salo_Kolmperä,60.372046,23.663891,,,
C02513,st110_Salo_Muurla,60.371548,23.322043,,,
C02514,vt8_Pori_Vuoltee,61.441827,21.742524,,,
C02515,vt10_Marttila,60.588269,22.843723,,,
C02516,st196_Uusikaupunki_Lokalahti,60.692405,21.483069,,,
C02517,vt12_Rauma_Lappi,61.106789,21.911443,,,
C02518,kt41_Virttaa,60.931291,22.683162,,,
C02519,vt2_Harjavalta_Nummi,61.305578,22.130739,,,
C02520,kt40_Turku_Kärsämäki,60.497459,22.285453,,,
C02521,kt40_Raisio,60.488183,22.174671,,,
C02522,kt40_Kaarina_Ravattula,60.471645,22.361207,,,
C02523,vt2_Pori_Honkaluoto,61.448268,21.833519,,,
C02524,vt8_Pori_Hyvelä,61.525521,21.803104,,,
C02525,vt8_Rauma_Luostarinkylä,61.150155,21.569286,,,
C02526,st180_Parainen_Prostvik,60.219237,22.092414,,,
C02527,st110_Paimio_Kurjenmäki,60.404055,22.82271,,,
C02528,st186_Salo_Orijärvi,60.238448,23.577745,,,
C02529,vt1_Turku_Jaani,60.437544,22.318686,,,
C02530,vt1_Turku_Huhkola,60.428912,22.326171,,,
C02531,vt1_Kaarina_Kurkela,60.422324,22.348875,,,
C02532,vt1_Kaarina_Väntsi,60.423748,22.379397,,,
C02533,vt1_Kaarina_Raadelma,60.429799,22.445037,,,
C02534,vt1_Kaarina_Kirismäki,60.443243,22.490693,,,
C02535,vt1_Paimio_Villisi,60.442428,22.594127,,,
C02536,vt1_Paimio_Valkoja,60.424733,22.671954,,,
