Latitude,Longitude,Timestamp,temp,name
63.72655,23.14359,2023-12-30 21:00:00,-16.5,Kruunupyy Kokkola-Pietarsaari lentoasema
60.09136,19.9291,2023-12-30 18:00:00,-2.6,Maarianhamina Länsisatama
64.11197,28.33639,2023-12-29 15:00:00,-11.8,Sotkamo Kuolaniemi
60.11584,20.29765,2023-12-30 14:00:00,-1.9,Lumparland Långnäs satama
62.39332,25.68862,2023-12-31 16:00:00,-16.7,Jyväskylä lentoasema AWOS
63.83882,23.09715,2023-12-29 04:00:00,-6.0,Kokkola Santahaka
64.61178,23.89674,2023-12-29 08:00:00,-5.3,Raahe Nahkiainen
68.16961,25.78316,2023-12-29 09:00:00,-11.4,Kittilä Pokka
60.20382,25.62546,2023-12-31 09:00:00,-13.8,Porvoo Emäsalo
62.41345,22.18372,2023-12-30 21:00:00,-14.3,Kauhajoki Kuja-Kokko
63.32108,30.04578,2023-12-31 06:00:00,-9.4,Lieksa Lampela
60.17797,24.78743,2023-12-29 08:00:00,0.6,Espoo Tapiola
65.99334,29.22715,2023-12-29 20:00:00,-12.4,Kuusamo lentoasema
68.08422,27.18501,2023-12-29 21:00:00,-14.8,Sodankylä Vuotso
60.45439,22.1787,2023-12-29 08:00:00,0.0,Turku Artukainen
60.3869,22.55183,2023-12-31 18:00:00,-17.0,Kaarina Yltöinen
70.08203,27.8965,2024-01-01 07:00:00,-14.9,Utsjoki Nuorgam
62.99842,27.80817,2023-12-29 08:00:00,-14.0,Siilinjärvi Kuopio lentoasema
65.97717,26.36757,2023-12-30 12:00:00,-11.0,Ranua lentokenttä
63.32108,30.04578,2024-01-01 09:00:00,-24.9,Lieksa Lampela
60.9992,24.49163,2023-12-29 19:00:00,-3.4,Hämeenlinna Katinen
64.2976,30.17061,2023-12-29 04:00:00,-8.3,Kuhmo Kalliojoki
67.99996,24.24016,2023-12-30 20:00:00,-16.8,Kittilä Matorova
63.6673,28.82927,2023-12-31 01:00:00,-17.5,Nurmes Valtimo
62.93808,22.48878,2024-01-01 02:00:00,-24.5,Seinäjoki Pelmaa
60.25299,25.04549,2023-12-31 14:00:00,-14.9,Helsinki Malmi lentokenttä
60.62773,25.19342,2023-12-28 12:00:00,-3.5,Mäntsälä Hirvihaara
60.20867,25.1959,2023-12-30 02:00:00,-1.4,Helsinki Vuosaari satama
60.25299,25.04549,2023-12-29 06:00:00,0.5,Helsinki Malmi lentokenttä
60.20867,25.1959,2024-01-01 03:00:00,-14.0,Helsinki Vuosaari satama
60.32937,24.97274,2024-01-01 04:00:00,-16.1,Vantaa Helsinki-Vantaan lentoasema
61.44467,29.46108,2023-12-30 15:00:00,-12.9,Parikkala Koitsanlahti
60.89839,26.94882,2023-12-29 16:00:00,-3.8,Kouvola Utti lentoasema
60.48595,26.59209,2023-12-31 17:00:00,-14.4,Pyhtää lentokenttä
65.97717,26.36757,2023-12-30 20:00:00,-17.3,Ranua lentokenttä
66.1716,29.13646,2023-12-29 11:00:00,-10.2,Kuusamo Ruka Talvijärvi
60.20307,24.96131,2023-12-28 22:00:00,-0.3,Helsinki Kumpula
67.69168,24.85538,2023-12-28 22:00:00,-15.8,Kittilä lentoasema
60.89839,26.94882,2023-12-31 11:00:00,-15.3,Kouvola Utti lentoasema
63.08225,25.85862,2023-12-30 10:00:00,-13.3,Viitasaari Haapaniemi
65.38508,24.09568,2023-12-30 14:00:00,-7.9,Kemi I majakka
68.61336,27.4189,2023-12-31 15:00:00,-17.5,Inari Ivalo lentoasema
64.66404,28.05673,2023-12-29 17:00:00,-11.5,Puolanka Paljakka
