Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2023,2,1,00:00,UTC,-,-,-1.4,-,1.4,-3.4
2023,2,2,00:00,UTC,-,-,-1.9,-,-0.4,-4
2023,2,3,00:00,UTC,-,-,-3.1,-,-1.7,-3.9
2023,2,4,00:00,UTC,-,-,-3.7,-,-1.5,-5.2
2023,2,5,00:00,UTC,-,-,-0.4,-,1.1,-5
2023,2,6,00:00,UTC,-,-,0.4,-,2,-0.9
2023,2,7,00:00,UTC,-,-,1,-,1.7,-1
2023,2,8,00:00,UTC,-,-,2,-,3.1,1.1
2023,2,9,00:00,UTC,-,-,2.5,-,3.2,1.8
2023,2,10,00:00,UTC,-,-,1.2,-,2.8,-0.2
2023,2,11,00:00,UTC,-,-,-0.8,-,1.2,-1.6
2023,2,12,00:00,UTC,-,-,1,-,2.2,-1.5
2023,2,13,00:00,UTC,-,-,4.5,-,6.8,1.3
2023,2,14,00:00,UTC,-,-,1.5,-,4.6,-0.4
2023,2,15,00:00,UTC,-,-,0.4,-,1.8,-1.2
2023,2,16,00:00,UTC,-,-,1,-,1.6,0.4
2023,2,17,00:00,UTC,-,-,1.8,-,2.8,1
2023,2,18,00:00,UTC,-,-,0.3,-,2,-0.2
2023,2,19,00:00,UTC,-,-,-0.1,-,0.4,-0.4
2023,2,20,00:00,UTC,-,-,-0.8,-,0,-1.3
2023,2,21,00:00,UTC,-,-,-4.3,-,-1.3,-5
2023,2,22,00:00,UTC,-,-,-6,-,-4.4,-8.1
2023,2,23,00:00,UTC,-,-,-0.5,-,0.5,-5.1
2023,2,24,00:00,UTC,-,-,-2.1,-,0.2,-3.3
2023,2,25,00:00,UTC,-,-,-2.4,-,-0.5,-3.5
2023,2,26,00:00,UTC,-,-,-5.3,-,-2.2,-9.7
2023,2,27,00:00,UTC,-,-,-0.5,-,3.8,-6.8
2023,2,28,00:00,UTC,-,-,2.7,-,5.3,1.2
2023,3,1,00:00,UTC,-,-,1.8,-,3.8,0.1
2023,3,2,00:00,UTC,-,-,2.8,-,4.4,1.2
2023,3,3,00:00,UTC,-,-,1.6,-,3.8,0.3
2023,3,4,00:00,UTC,-,-,-1.2,-,2.1,-1.9
2023,3,5,00:00,UTC,-,-,-3,-,-0.8,-5.8
2023,3,6,00:00,UTC,-,-,-3.9,-,-1.8,-5.6
2023,3,7,00:00,UTC,-,-,-4.7,-,-2,-7.7
2023,3,8,00:00,UTC,-,-,-3.7,-,-2.9,-4
2023,3,9,00:00,UTC,-,-,-6.4,-,-3,-11
2023,3,10,00:00,UTC,-,-,-1.1,-,0.9,-4.5
2023,3,11,00:00,UTC,-,-,-4.6,-,-1.8,-7.3
2023,3,12,00:00,UTC,-,-,-3.1,-,0,-6.9
2023,3,13,00:00,UTC,-,-,-1.1,-,0.6,-3.9
2023,3,14,00:00,UTC,-,-,2.6,-,4.9,-0.8
2023,3,15,00:00,UTC,-,-,0.3,-,2.2,-0.7
2023,3,16,00:00,UTC,-,-,-0.3,-,2.6,-1.9
2023,3,17,00:00,UTC,-,-,-0.4,-,2.1,-4.3
2023,3,18,00:00,UTC,-,-,2.6,-,3.8,0.4
2023,3,19,00:00,UTC,-,-,0.7,-,1.9,-0.3
2023,3,20,00:00,UTC,-,-,0.7,-,2,-1.5
2023,3,21,00:00,UTC,-,-,-0.6,-,0.9,-2.1
2023,3,22,00:00,UTC,-,-,1.8,-,3.1,-0.5
2023,3,23,00:00,UTC,-,-,3.6,-,6.3,2
2023,3,24,00:00,UTC,-,-,2.9,-,5,0.8
2023,3,25,00:00,UTC,-,-,0.6,-,5.4,-0.8
