Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2023,3,16,00:00,UTC,-1,20,-0.4,-,3.7,-3.8
2023,3,16,06:00,UTC,-,-,-,-8.5,-,-
2023,3,17,00:00,UTC,-1,20,-1,-,2,-6
2023,3,17,06:00,UTC,-,-,-,-12.8,-,-
2023,3,18,00:00,UTC,1.4,20,3.6,-,5.7,0.6
2023,3,18,06:00,UTC,-,-,-,-0.3,-,-
2023,3,19,00:00,UTC,0.1,15,2.8,-,5.3,1.7
2023,3,19,06:00,UTC,-,-,-,0.1,-,-
2023,3,20,00:00,UTC,2.8,13,1.6,-,2.7,0.3
2023,3,20,06:00,UTC,-,-,-,0,-,-
2023,3,21,00:00,UTC,0.3,11,1.6,-,5.8,-1
2023,3,21,06:00,UTC,-,-,-,-2.7,-,-
2023,3,22,00:00,UTC,9.5,11,1.3,-,3.3,-1.1
2023,3,22,06:00,UTC,-,-,-,-2,-,-
2023,3,23,00:00,UTC,1.3,8,3.7,-,8.1,2
2023,3,23,06:00,UTC,-,-,-,2.1,-,-
2023,3,24,00:00,UTC,14.8,6,3.1,-,5.4,-0.6
2023,3,24,06:00,UTC,-,-,-,-1,-,-
2023,3,25,00:00,UTC,3.4,-1,2.5,-,5.5,1
2023,3,25,06:00,UTC,-,-,-,2.2,-,-
