station,day,tmax
Pori lentoasema,2025-03-01,2.3
Pori rautatieasema,2025-03-01,2.4
Porvoo Emäsalo,2025-03-01,1.3
Porvoo Harabacka,2025-03-01,1.9
Porvoo Kalbådagrund,2025-03-01,1.7
Porvoo Kilpilahti satama,2025-03-01,2.2
Pudasjärvi lentokenttä,2025-03-01,-0.5
Puolanka Paljakka,2025-03-01,-1.4
Puumala kirkonkylä,2025-03-01,0.8
Pyhtää lentokenttä,2025-03-01,2.8
Pyhäjärvi Ojakylä,2025-03-01,0.6
Raahe Lapaluoto satama,2025-03-01,1.0
Raahe Nahkiainen,2025-03-01,0.6
Raasepori Jussarö,2025-03-01,1.7
Rantasalmi Rukkasluoto,2025-03-01,1.6
Ranua lentokenttä,2025-03-01,-0.8
Rauma Kylmäpihlaja,2025-03-01,2.1
Rauma Pyynpää,2025-03-01,1.9
Rautavaara Ylä-Luosta,2025-03-01,0.2
Rovaniemi Apukka,2025-03-01,0.1
Rovaniemi lentoasema AWOS,2025-03-01,-0.6
Rovaniemi rautatieasema,2025-03-01,0.5
Salla Naruska,2025-03-01,-1.7
Salla Värriötunturi,2025-03-01,-2.9
Salla kirkonkylä,2025-03-01,-1.1
Salo Kiikala lentokenttä,2025-03-01,0.7
Salo Kärkkä,2025-03-01,1.8
Savonlinna Punkaharju Laukansaari,2025-03-01,1.3
Savonlinna lentoasema,2025-03-01,1.6
Savukoski Tulppio,2025-03-01,-2.1
Savukoski kirkonkylä,2025-03-01,-1.9
Seinäjoki Pelmaa,2025-03-01,2.9
Siikajoki Ruukki,2025-03-01,0.9
Siilinjärvi Kuopio lentoasema,2025-03-01,1.3
Sipoo Itätoukki,2025-03-01,1.6
Sodankylä Lokka,2025-03-01,-3.0
Sodankylä Tähtelä,2025-03-01,-1.2
Sodankylä Vuotso,2025-03-01,-3.9
Somero Salkola,2025-03-01,0.1
Sotkamo Kuolaniemi,2025-03-01,0.4
Sotkamo Tuhkakylä,2025-03-01,0.6
Suomussalmi Pesiö,2025-03-01,-0.6
Taivalkoski kirkonkylä,2025-03-01,-0.6
Tampere Härmälä,2025-03-01,0.7
Tampere Siilinkari,2025-03-01,0.9
Tervola Loue,2025-03-01,0.3
Tohmajärvi Kemie,2025-03-01,1.0
Toholampi Laitala,2025-03-01,1.2
Tornio Kaakkuri,2025-03-01,-0.4
Turku Artukainen,2025-03-01,1.0
Turku Rajakari,2025-03-01,0.9
Turku lentoasema,2025-03-01,0.8
Utsjoki Kevo,2025-03-01,-6.1
Utsjoki Kevo Kevojärvi,2025-03-01,-5.7
Utsjoki Nuorgam,2025-03-01,-6.1
Vaala Pelso,2025-03-01,0.0
Vaasa Klemettilä,2025-03-01,2.5
Vaasa lentoasema,2025-03-01,2.4
Vantaa Helsinki-Vantaan lentoasema,2025-03-01,1.3
Varkaus Kosulanniemi,2025-03-01,1.5
Vesanto kirkonkylä,2025-03-01,0.8
Vieremä Kaarakkala,2025-03-01,-0.5
Vihti Maasoja,2025-03-01,1.4
Viitasaari Haapaniemi,2025-03-01,1.3
Virolahti Koivuniemi,2025-03-01,1.6
Virrat Äijänneva,2025-03-01,0.5
Ylitornio Meltosjärvi,2025-03-01,-0.5
Ylivieska lentokenttä,2025-03-01,1.2
Ähtäri Inha,2025-03-01,0.4
