idx,station,tmax,tmax_noisy
115,Heinola Asemantaus,0.5,0.7163885231416085
116,Rovaniemi rautatieasema,0.5,-1.0884781271914072
117,Karvia Alkkia,0.5,1.1980286340641118
118,Ilomantsi Mekrijärvi,0.5,0.5655564365703286
119,Haapavesi Mustikkamäki,0.5,5.3053366739627466
120,Hattula Lepaa,0.5,-0.2180668824190728
121,Virrat Äijänneva,0.5,-2.570492477865595
122,Kuopio Maaninka,0.5,1.0378269048689486
123,Asikkala Pulkkilanharju,0.5,1.1599900519152955
124,Espoo Nuuksio,0.5,4.577562725721309
125,Luhanka Judinsalo,0.5,3.0053337377437357
126,Jämsä Halli lentoasema,0.4,1.470613177448528
127,Hämeenlinna Lammi Pappila,0.4,4.789908673658686
128,Sotkamo Kuolaniemi,0.4,-3.166289162968553
129,Ähtäri Inha,0.4,-1.5192545982492431
130,Halsua Purola,0.4,-2.379727824216575
131,Kankaanpää Niinisalo lentokenttä,0.4,-0.7694294094673039
132,Mikkeli Lentoasema AWOS,0.3,-3.8300584426689266
133,Tervola Loue,0.3,2.205452840443213
134,Rautavaara Ylä-Luosta,0.2,-0.4666680912963201
135,Hailuoto Marjaniemi,0.1,-4.3124188835079735
136,Hailuoto Keskikylä,0.1,-2.9467372436226245
137,Juupajoki Hyytiälä,0.1,1.040541542350586
138,Multia Karhila,0.1,2.6143797036831433
139,Somero Salkola,0.1,6.090192675075359
140,Rovaniemi Apukka,0.1,8.841587398021987
141,Vaala Pelso,0.0,1.243228299827989
142,Kemi Ajos,-0.1,-3.0686143600955926
143,Ilomantsi Pötsönvaara,-0.1,-6.496138842193927
144,Kuhmo Kalliojoki,-0.1,0.7031343870315074
145,Kemi Kemi-Tornio lentoasema,-0.1,-2.538823285930978
146,Joutsa Savenaho,-0.1,-1.346071780539056
147,Kemi I majakka,-0.2,-2.036290397179424
148,Pello kirkonkylä,-0.3,-0.7223726592491557
149,Kuusamo Kiutaköngäs,-0.4,2.7979406923629306
150,Tornio Kaakkuri,-0.4,0.07114570233603384
151,Vieremä Kaarakkala,-0.5,-0.9759045111160649
152,Pudasjärvi lentokenttä,-0.5,-3.606961258477435
153,Ylitornio Meltosjärvi,-0.5,-5.524048834113071
154,Taivalkoski kirkonkylä,-0.6,-2.0589237272199927
155,Suomussalmi Pesiö,-0.6,-0.7613476524549614
156,Kuusamo lentoasema,-0.6,4.70378974073965
157,Rovaniemi lentoasema AWOS,-0.6,-0.20917643558134247
158,Ranua lentokenttä,-0.8,2.1482185330691728
159,Kemijärvi lentokenttä,-1.0,-2.497886795617456
160,Kuusamo Ruka Talvijärvi,-1.1,-4.654831299251073
161,Salla kirkonkylä,-1.1,-3.9953502866971156
162,Sodankylä Tähtelä,-1.2,-3.3756781936072597
163,Kuusamo Juuma,-1.3,5.085409197305494
164,Puolanka Paljakka,-1.4,-3.8641600376731584
165,Kittilä Pakatti,-1.6,0.9154676112090345
166,Kittilä lentoasema,-1.7,-4.408781534261079
167,Salla Naruska,-1.7,1.0947190386227323
168,Savukoski kirkonkylä,-1.9,-0.7451471016824105
169,Inari Nellim,-2.0,-2.4699136929742713
170,Muonio Oustajärvi,-2.0,-2.122287578406302
171,Savukoski Tulppio,-2.1,-4.0643630862881714
172,Kittilä Lompolonvuoma,-2.3,-0.9617833955537582
173,Kuusamo Rukatunturi,-2.4,-3.76495044102234
174,Inari Ivalo lentoasema,-2.8,-6.476817291301744
175,Pelkosenniemi Pyhätunturi,-2.9,-6.733812722958858
176,Salla Värriötunturi,-2.9,-2.3822362468336413
177,Inari Raja-Jooseppi Kontiojärvi,-2.9,1.8372737692313046
178,Enontekiö lentoasema,-3.0,-2.5200251592796854
179,Kittilä Pokka,-3.0,-3.355914978329648
180,Sodankylä Lokka,-3.0,-2.1425215811923715
181,Kittilä Matorova,-3.0,0.9180052251204742
182,Kittilä Kenttärova,-3.0,-2.341852495908431
183,Inari Raja-Jooseppi,-3.3,-4.532781692501212
184,Enontekiö Näkkälä,-3.9,-0.5811338698203334
185,Sodankylä Vuotso,-3.9,-2.6137306846151596
186,Muonio Sammaltunturi,-4.1,0.5072679759879763
187,Enontekiö Kilpisjärvi kyläkeskus,-4.1,-3.5502966883342815
188,Inari Kirakkajärvi,-4.1,-7.773407095161501
189,Inari Angeli Lintupuoliselkä,-4.2,-8.304477597736994
190,Inari Saariselkä matkailukeskus,-4.3,0.6527837966937486
191,Inari Seitalaassa,-4.6,0.570997162349892
192,Inari Kaamanen,-4.7,-5.238557639847802
193,Inari Väylä,-4.7,-5.849561963407964
194,Inari Saariselkä Kaunispää,-5.2,-0.8156671232733936
195,Muonio Laukukero,-5.2,-8.521137046130464
196,Enontekiö Kilpisjärvi Saana,-5.5,-8.18418105686748
197,Utsjoki Kevo Kevojärvi,-5.7,-3.770019615932867
198,Utsjoki Nuorgam,-6.1,-7.283815368578768
199,Utsjoki Kevo,-6.1,-6.115365600160214
