Latitude,Longitude,Timestamp,temp,name
60.30373,25.54916,2023-12-31 04:00:00,-14.4,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 05:00:00,-14.4,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 06:00:00,-14.6,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 07:00:00,-14.7,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 08:00:00,-14.8,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 09:00:00,-14.2,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 10:00:00,-13.6,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 11:00:00,-13.0,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 12:00:00,-12.9,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 13:00:00,-12.9,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 14:00:00,-13.1,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 15:00:00,-13.7,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 16:00:00,-14.1,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 17:00:00,-14.4,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 18:00:00,-13.7,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 19:00:00,-13.9,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 20:00:00,-13.8,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 21:00:00,-14.4,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 22:00:00,-14.5,Porvoo Kilpilahti satama
60.30373,25.54916,2023-12-31 23:00:00,-14.9,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 00:00:00,-15.1,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 01:00:00,-15.3,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 02:00:00,-15.7,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 03:00:00,-15.7,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 04:00:00,-15.7,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 05:00:00,-14.7,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 06:00:00,-14.5,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 07:00:00,-16.2,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 08:00:00,-15.7,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 09:00:00,-15.8,Porvoo Kilpilahti satama
60.30373,25.54916,2024-01-01 10:00:00,-16.0,Porvoo Kilpilahti satama
60.12735,19.90038,2023-12-28 11:00:00,0.9,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 12:00:00,0.2,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 13:00:00,0.0,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 14:00:00,1.0,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 15:00:00,1.4,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 16:00:00,1.9,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 17:00:00,2.1,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 18:00:00,2.2,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 19:00:00,2.0,Jomala Maarianhamina lentoasema
60.12735,19.90038,2023-12-28 20:00:00,1.9,Jomala Maarianhamina lentoasema
