"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Precipitation [mm]","Average air pressure [hPa]"
"Kustavi Isokari","2023","4","16","18:00","6","7.4","5.1","56","6","6.5","348","8.5","0","1026.1"
"Kustavi Isokari","2023","4","16","19:00","5.1","5.6","4.8","60","6.3","6.8","343","9.2","0","1026.1"
"Kustavi Isokari","2023","4","16","20:00","4.4","4.9","3.9","64","6.7","7.2","347","9.2","0","1026.2"
"Kustavi Isokari","2023","4","16","21:00","3.5","3.9","3.4","69","7.6","8.2","353","10.3","0","1026.2"
"Kustavi Isokari","2023","4","16","22:00","3.4","3.5","3.2","70","8.2","8.5","359","10.9","0","1026.5"
"Kustavi Isokari","2023","4","16","23:00","3.3","3.4","3.2","73","8.1","8.3","358","10","0","1026.7"
"Kustavi Isokari","2023","4","17","00:00","3.2","3.3","3.1","75","7.6","7.8","357","9.6","0","1026.8"
"Kustavi Isokari","2023","4","17","01:00","3","3.1","2.8","77","7.2","7.7","360","9.7","0","1027"
"Kustavi Isokari","2023","4","17","02:00","2.7","2.9","2.6","81","6.2","6.7","5","8.5","0","1027.1"
"Kustavi Isokari","2023","4","17","03:00","2.4","2.8","2.2","86","5.1","5.7","6","6.5","0","1027.4"
"Kustavi Isokari","2023","4","17","04:00","2.2","2.3","2","90","4.5","5.1","10","5.6","0","1027.4"
"Kustavi Isokari","2023","4","17","05:00","2","2.1","1.8","92","3.5","4.1","355","4.8","0","1027.7"
"Kustavi Isokari","2023","4","17","06:00","1.8","2.1","1.6","93","3.5","3.8","1","4.3","0","1027.8"
"Kustavi Isokari","2023","4","17","07:00","1.7","2.1","1.5","94","3.6","3.9","351","4.7","0","1028.2"
"Kustavi Isokari","2023","4","17","08:00","2.3","2.7","2.1","91","4.2","5.5","348","6.6","0","1028.8"
"Kustavi Isokari","2023","4","17","09:00","3.1","3.7","2.6","85","4.2","4.9","360","6.3","0","1029.2"
"Kustavi Isokari","2023","4","17","10:00","4","4.4","3.4","75","4.7","5","5","6.4","0","1029.7"
"Kustavi Isokari","2023","4","17","11:00","4.8","5.6","4.1","66","4.9","5.2","6","7.2","0","1030.1"
"Kustavi Isokari","2023","4","17","12:00","6","6.9","5.3","58","5.6","6.5","359","8.2","0","1030.5"
"Kustavi Isokari","2023","4","17","13:00","5.6","7.3","4.4","60","6.1","6.6","343","8.7","0","1030.9"
"Kustavi Isokari","2023","4","17","14:00","5.5","6.7","4.4","62","6.2","7.1","346","8.8","0","1031.1"
"Kustavi Isokari","2023","4","17","15:00","4.9","5.5","4.3","67","7","7.5","339","10.1","0","1031.5"
"Kustavi Isokari","2023","4","17","16:00","4.6","4.9","4.2","66","8.1","8.7","342","11.6","0","1031.7"
"Kustavi Isokari","2023","4","17","17:00","4.5","5.2","3.7","69","6.9","8.6","337","10.6","0","1031.9"
"Kustavi Isokari","2023","4","17","18:00","4","4.4","3.6","78","7.1","8","342","10.3","0","1032.1"
"Kustavi Isokari","2023","4","17","19:00","3.6","4.2","3.2","83","7.1","7.7","338","9.7","0","1032"
"Kustavi Isokari","2023","4","17","20:00","3.2","3.5","3.1","83","6.7","7.5","338","9.2","0","1032.2"
"Kustavi Isokari","2023","4","17","21:00","2.9","3.1","2.7","85","6.4","7.1","340","8.5","0","1032.3"
"Kustavi Isokari","2023","4","17","22:00","2.5","2.6","2.5","87","6.2","6.7","337","8.2","0","1032.6"
"Kustavi Isokari","2023","4","17","23:00","2.6","2.6","2.5","87","5.8","6","334","7.4","0","1032.7"
"Kustavi Isokari","2023","4","18","00:00","2.8","3.1","2.6","87","6.2","6.5","346","8.1","0","1032.7"
"Kustavi Isokari","2023","4","18","01:00","3.1","3.4","2.9","88","6.5","6.9","6","8.9","0","1033.2"
"Kustavi Isokari","2023","4","18","02:00","3.5","3.6","3.2","85","6.5","6.7","8","8.4","0","1033.6"
"Kustavi Isokari","2023","4","18","03:00","3.2","3.6","2.9","84","6.1","6.5","6","8.2","0","1033.9"
"Kustavi Isokari","2023","4","18","04:00","3","3.1","2.7","84","6.7","6.9","4","8.6","0","1034.1"
"Kustavi Isokari","2023","4","18","05:00","2.7","2.8","2.5","86","7.2","7.6","1","9.4","0","1034.5"
"Kustavi Isokari","2023","4","18","06:00","2.5","2.6","2.4","87","6.8","7.6","3","9.8","0","1034.7"
"Kustavi Isokari","2023","4","18","07:00","2.7","2.9","2.4","85","7.3","7.6","6","9.7","0","1034.9"
"Kustavi Isokari","2023","4","18","08:00","3.2","3.5","2.9","83","7.3","7.6","9","9.4","0","1035.4"
"Kustavi Isokari","2023","4","18","09:00","3.9","4.4","3.5","76","6.7","7.2","9","8.8","0","1035.7"
"Kustavi Isokari","2023","4","18","10:00","4.3","4.6","4","76","6.4","7.1","358","9","0","1036"
"Kustavi Isokari","2023","4","18","11:00","4.9","5.6","4.3","73","6.3","6.7","350","8.5","0","1036.2"
"Kustavi Isokari","2023","4","18","12:00","4.7","5.1","4.3","75","7","7.8","341","9.9","0","1036.1"
"Kustavi Isokari","2023","4","18","13:00","4.8","5.2","4.5","75","7.7","8.6","343","10.8","0","1035.9"
"Kustavi Isokari","2023","4","18","14:00","5.3","5.9","4.8","73","8.4","8.9","345","11.5","0","1035.6"
"Kustavi Isokari","2023","4","18","15:00","5.6","6","5.2","71","9.6","10.1","344","13","0","1035.4"
"Kustavi Isokari","2023","4","18","16:00","6","6.4","5.7","69","9.5","10.2","345","13.5","0","1035.3"
"Kustavi Isokari","2023","4","18","17:00","6","6.2","5.8","68","10.5","11.3","346","15.5","0","1035.1"
"Kustavi Isokari","2023","4","18","18:00","5.9","6.2","5.6","68","9.8","10.5","348","13.8","0","1035.2"
"Kustavi Isokari","2023","4","18","19:00","5.7","6","5","70","8.8","9.2","357","12.6","0","1035.3"
"Kustavi Isokari","2023","4","18","20:00","4.8","5.1","4.5","76","8.7","9.6","359","12.4","0","1035.4"
"Kustavi Isokari","2023","4","18","21:00","4.3","4.5","4.1","79","8.6","9.1","359","11.4","0","1035.6"
"Kustavi Isokari","2023","4","18","22:00","3.9","4.1","3.7","83","8.1","9.4","4","11.3","0","1035.9"
"Kustavi Isokari","2023","4","18","23:00","3.8","3.9","3.7","85","6.9","7.6","11","8.9","0","1036.3"
"Kustavi Isokari","2023","4","19","00:00","4","4.2","3.8","84","6.4","6.7","13","7.8","0","1036.6"
"Kustavi Isokari","2023","4","19","01:00","4","4.2","3.8","84","6.6","7.2","14","8.3","0","1036.8"
"Kustavi Isokari","2023","4","19","02:00","4","4.3","3.6","81","7.1","7.9","30","8.4","0","1037.1"
"Kustavi Isokari","2023","4","19","03:00","4.6","5","4","69","6.3","6.8","39","7.3","0","1037.1"
"Kustavi Isokari","2023","4","19","04:00","4.3","4.7","3.7","69","5.5","6.1","45","6.7","0","1037.1"
"Kustavi Isokari","2023","4","19","05:00","3.6","3.7","3.5","74","5.7","6.3","59","6.6","0","1037.1"
"Kustavi Isokari","2023","4","19","06:00","3.4","3.6","3.1","74","5.9","6.7","60","7","0","1037"
"Kustavi Isokari","2023","4","19","07:00","3.4","3.7","3.1","74","3.5","4.4","59","4.6","0","1036.9"
"Kustavi Isokari","2023","4","19","08:00","3.6","3.8","3.3","72","3.7","4.2","36","4.5","0","1037"
"Kustavi Isokari","2023","4","19","09:00","4","4.4","3.6","70","3.3","3.6","37","4","0","1037.2"
"Kustavi Isokari","2023","4","19","10:00","4.3","5.3","3.9","70","3.5","3.9","42","4.4","0","1037.4"
"Kustavi Isokari","2023","4","19","11:00","5.9","7.3","4.9","64","2.5","3.5","16","3.9","0","1037.4"
"Kustavi Isokari","2023","4","19","12:00","7.8","8.8","6.6","57","2.8","3","352","3.7","0","1037.1"
"Kustavi Isokari","2023","4","19","13:00","7.1","8.4","6.2","60","4.3","5.2","333","6.2","0","1036.8"
"Kustavi Isokari","2023","4","19","14:00","6.9","7.5","6.2","60","5.7","6.1","333","7.9","0","1036.4"
"Kustavi Isokari","2023","4","19","15:00","5.7","6.7","5.1","67","6.5","7.2","333","9.3","0","1036.1"
"Kustavi Isokari","2023","4","19","16:00","6.2","6.9","5.4","62","7.6","8.3","340","10.3","0","1035.6"
"Kustavi Isokari","2023","4","19","17:00","6","6.7","5.6","64","7.6","8.2","342","10.7","0","1035.1"
"Kustavi Isokari","2023","4","19","18:00","6","6.6","5.4","66","6.9","8.3","347","10.3","0","1034.9"
"Kustavi Isokari","2023","4","19","19:00","5.7","6.1","5.2","68","7.3","8.6","356","10.4","0","1034.5"
"Kustavi Isokari","2023","4","19","20:00","5","5.3","4.7","71","7.2","8.5","357","9.7","0","1034.1"
"Kustavi Isokari","2023","4","19","21:00","4.3","4.7","3.9","76","6.3","6.9","356","9","0","1034.1"
"Kustavi Isokari","2023","4","19","22:00","3.8","4.1","3.7","79","4.9","5.5","6","6.4","0","1034.2"
"Kustavi Isokari","2023","4","19","23:00","4.4","4.8","4","74","5.7","6.5","10","7.8","0","1034.2"
"Kustavi Isokari","2023","4","20","00:00","4","4.3","3.7","78","5","5.8","13","6.6","0","1034.2"
"Kustavi Isokari","2023","4","20","01:00","3.7","3.8","3.4","82","3.8","4.9","16","5.2","0","1034.3"
"Kustavi Isokari","2023","4","20","02:00","3.7","3.8","3.5","82","3","3.6","11","4.2","0","1034.1"
"Kustavi Isokari","2023","4","20","03:00","3.2","3.5","2.9","84","2.6","2.7","8","3.1","0","1033.8"
"Kustavi Isokari","2023","4","20","04:00","2.8","3.1","2.7","87","2.4","2.7","352","3.7","0","1033.5"
"Kustavi Isokari","2023","4","20","05:00","2.9","3","2.8","84","3","3.8","347","4.5","0","1033.3"
"Kustavi Isokari","2023","4","20","06:00","2.6","2.8","2.4","89","4.2","4.7","330","5.3","0","1033.1"
"Kustavi Isokari","2023","4","20","07:00","2.9","3.2","2.6","85","3.9","4.5","330","5.5","0","1032.8"
"Kustavi Isokari","2023","4","20","08:00","3.6","4","3.3","77","4.6","4.9","322","5.9","0","1032.6"
"Kustavi Isokari","2023","4","20","09:00","4.6","5","3.9","68","3.8","4.7","317","5.1","0","1032.5"
"Kustavi Isokari","2023","4","20","10:00","5.8","6.8","4.8","59","2.9","3.5","298","3.8","0","1032.4"
"Kustavi Isokari","2023","4","20","11:00","7.1","7.9","6.3","51","3.2","3.6","285","4.8","0","1032.3"
"Kustavi Isokari","2023","4","20","12:00","7.9","8.5","7.3","47","3.7","4.3","281","5.6","0","1032.1"
"Kustavi Isokari","2023","4","20","13:00","7.3","8.2","6.7","52","4.4","5.1","270","7","0","1031.8"
"Kustavi Isokari","2023","4","20","14:00","6.5","7.1","6","60","5.2","5.9","277","7.8","0","1031.5"
"Kustavi Isokari","2023","4","20","15:00","6.4","6.8","6","63","5","5.8","278","8.1","0","1031"
"Kustavi Isokari","2023","4","20","16:00","5.8","6.5","5.3","70","5.4","6","278","7.6","0","1030.3"
"Kustavi Isokari","2023","4","20","17:00","5.4","6","5.1","73","5.2","5.6","274","7","0","1029.7"
"Kustavi Isokari","2023","4","20","18:00","4.6","5.8","4.1","80","5","5.3","298","6.7","0","1029.2"
"Kustavi Isokari","2023","4","20","19:00","4.3","4.7","3.9","84","5.1","5.4","312","6.7","0","1028.7"
"Kustavi Isokari","2023","4","20","20:00","4.2","4.7","3.8","85","4.7","5","317","5.9","0","1028.3"
"Kustavi Isokari","2023","4","20","21:00","3.6","3.9","3.4","89","4.4","4.6","312","5.3","0","1028"
"Kustavi Isokari","2023","4","20","22:00","3.3","3.5","3.1","91","4.4","4.8","321","5.4","0","1027.8"
"Kustavi Isokari","2023","4","20","23:00","3.1","3.2","3","93","4.6","4.9","320","5.3","0","1027.5"
"Kustavi Isokari","2023","4","21","00:00","3.1","3.2","3","92","5.2","5.4","309","5.7","0","1027.2"
"Kustavi Isokari","2023","4","21","01:00","3.2","3.5","2.7","90","4.8","5.4","301","5.9","0","1026.9"
"Kustavi Isokari","2023","4","21","02:00","3.3","3.5","3","90","5.3","6.1","303","7.7","0","1026.4"
"Kustavi Isokari","2023","4","21","03:00","3.7","3.8","3.5","88","6.9","7.2","312","8.5","0","1026"
"Kustavi Isokari","2023","4","21","04:00","3.8","3.9","3.5","87","5.9","6.6","309","7.2","0","1025.7"
"Kustavi Isokari","2023","4","21","05:00","4.3","4.8","3.7","85","5.8","6.1","305","7.9","0","1025.2"
"Kustavi Isokari","2023","4","21","06:00","4.1","4.4","3.9","86","6.1","7.2","308","9","0","1024.9"
"Kustavi Isokari","2023","4","21","07:00","4","4.5","3.8","87","6.7","7.5","321","8.5","0","1024.6"
"Kustavi Isokari","2023","4","21","08:00","4.7","5.2","4.3","83","6.8","7.5","323","8.7","0","1024.1"
"Kustavi Isokari","2023","4","21","09:00","5","5.2","4.7","81","6.1","6.6","326","8","0","1023.9"
"Kustavi Isokari","2023","4","21","10:00","5.1","5.3","4.9","80","5.5","5.9","323","7.8","0","1023.7"
"Kustavi Isokari","2023","4","21","11:00","5.1","5.3","4.8","81","5.4","5.8","316","7.7","0","1023.2"
"Kustavi Isokari","2023","4","21","12:00","5","5.6","4.4","81","5.8","6.6","313","8.3","0","1023"
"Kustavi Isokari","2023","4","21","13:00","5","5.6","4.5","82","6.1","6.4","315","8.9","0","1022.7"
"Kustavi Isokari","2023","4","21","14:00","5.2","5.8","4.7","81","5.3","5.8","319","7.4","0","1022.3"
"Kustavi Isokari","2023","4","21","15:00","5.6","6.2","5.2","78","4.9","5.5","330","7.6","0","1022"
"Kustavi Isokari","2023","4","21","16:00","5.4","5.9","5","79","4.9","5.3","321","7","0","1021.5"
"Kustavi Isokari","2023","4","21","17:00","5.1","5.6","4.6","81","5.2","5.5","311","7.1","0","1020.9"
"Kustavi Isokari","2023","4","21","18:00","4.9","5.4","4.5","82","5.1","5.5","309","6.7","0","1020.5"
"Kustavi Isokari","2023","4","21","19:00","4.5","4.7","4.2","85","5.3","5.8","309","7.3","0","1019.9"
"Kustavi Isokari","2023","4","21","20:00","4.2","4.5","3.9","87","5","5.3","311","6.9","0","1019.3"
"Kustavi Isokari","2023","4","21","21:00","3.9","4.1","3.5","88","4.2","5","311","5.9","0","1018.8"
"Kustavi Isokari","2023","4","21","22:00","3.4","3.6","3","89","3.3","3.9","310","4.5","0","1018.4"
"Kustavi Isokari","2023","4","21","23:00","3","3.1","2.7","92","4.7","5.1","293","5.8","0","1018"
"Kustavi Isokari","2023","4","22","00:00","3.2","3.4","3","91","5.5","6.1","295","6.9","0","1017.4"
"Kustavi Isokari","2023","4","22","01:00","3.4","3.6","3.2","90","5.8","6.2","305","7","0","1017.1"
"Kustavi Isokari","2023","4","22","02:00","3.1","3.6","2.9","91","2.5","6.1","319","5.9","0","1016.8"
"Kustavi Isokari","2023","4","22","03:00","2.8","3.3","2.3","90","3.1","3.6","290","4.6","0","1016.5"
"Kustavi Isokari","2023","4","22","04:00","2.7","3","2.2","91","4.3","4.9","287","5.8","0","1016.1"
"Kustavi Isokari","2023","4","22","05:00","3.1","3.5","2.9","91","5.2","5.7","294","7.1","0","1015.9"
"Kustavi Isokari","2023","4","22","06:00","3.3","3.7","2.9","89","5.5","6.1","292","7.8","0","1015.5"
"Kustavi Isokari","2023","4","22","07:00","4.1","4.8","3.4","84","4.6","5.1","274","6.2","0","1015.1"
"Kustavi Isokari","2023","4","22","08:00","4.9","5.5","4.4","82","3.8","4.5","257","5.2","0","1014.7"
"Kustavi Isokari","2023","4","22","09:00","5.8","6.4","5.3","77","2.6","3.6","270","5.1","0","1014.7"
"Kustavi Isokari","2023","4","22","10:00","6.4","7.1","5.9","73","1.8","2","272","2.8","0","1014.4"
"Kustavi Isokari","2023","4","22","11:00","7.2","8","6.2","70","1.4","2.1","253","3","0","1014.1"
"Kustavi Isokari","2023","4","22","12:00","7.1","7.9","5.9","69","2.3","2.9","278","3.9","0","1014"
"Kustavi Isokari","2023","4","22","13:00","8.5","9.7","7","59","0.9","2","35","2","0","1013.7"
"Kustavi Isokari","2023","4","22","14:00","8.5","9.2","7.7","59","1.1","1.3","93","1.5","0","1013.3"
"Kustavi Isokari","2023","4","22","15:00","8.3","10","7.2","60","1.5","2","103","2.2","0","1012.9"
"Kustavi Isokari","2023","4","22","16:00","8.6","9.2","7.5","58","1.9","2.3","137","2.4","0","1012.5"
"Kustavi Isokari","2023","4","22","17:00","8.6","9.5","8","68","2.6","3.9","151","4.5","0","1012.1"
"Kustavi Isokari","2023","4","22","18:00","8.1","8.6","7.6","76","3.4","3.9","166","4.5","0","1011.7"
"Kustavi Isokari","2023","4","22","19:00","7.3","8.1","6.7","78","4.2","5.1","166","5.6","0","1011.4"
"Kustavi Isokari","2023","4","22","20:00","6.7","7","6.5","78","5.5","5.8","159","7.1","0","1010.9"
"Kustavi Isokari","2023","4","22","21:00","6","6.5","5.6","81","5.9","6.9","160","7.4","0","1010.5"
"Kustavi Isokari","2023","4","22","22:00","5.5","5.7","5.3","84","5.1","5.8","154","6.2","0","1010.3"
"Kustavi Isokari","2023","4","22","23:00","5.4","5.7","5.1","85","6.7","8.5","160","9","0","1010.2"
"Kustavi Isokari","2023","4","23","00:00","5.2","5.6","4.6","85","4.4","7.5","120","7.6","0","1010.3"
"Kustavi Isokari","2023","4","23","01:00","5.4","5.9","5.1","83","4.4","5.5","111","5.9","0","1010.2"
"Kustavi Isokari","2023","4","23","02:00","4.9","5.5","4.5","87","4.6","5.6","110","6.1","0","1009.9"
"Kustavi Isokari","2023","4","23","03:00","4.6","4.9","4.4","88","5.2","6.1","108","6.3","0","1009.7"
"Kustavi Isokari","2023","4","23","04:00","4.3","4.6","4.2","88","5.4","5.8","94","6","0","1009.4"
"Kustavi Isokari","2023","4","23","05:00","4.3","4.5","4.1","89","6.1","6.6","90","7","0","1008.9"
"Kustavi Isokari","2023","4","23","06:00","4.1","4.2","4","90","6.5","7","105","7.4","0","1008.5"
"Kustavi Isokari","2023","4","23","07:00","4.1","4.3","3.9","91","6.6","7.3","122","8.1","0","1008"
"Kustavi Isokari","2023","4","23","08:00","4.7","5.2","4.2","89","5.4","5.6","148","6.3","0","1007.6"
"Kustavi Isokari","2023","4","23","09:00","5.4","6.4","4.7","85","5","6.8","166","7.4","0","1007.6"
"Kustavi Isokari","2023","4","23","10:00","5.7","6.2","5.2","83","3.6","6","145","7.3","0","1007.7"
"Kustavi Isokari","2023","4","23","11:00","6","6.4","5.6","83","7.9","8.9","153","9.8","0","1007.2"
"Kustavi Isokari","2023","4","23","12:00","6.2","6.6","5.9","83","10","10.5","153","11.5","0","1006.8"
"Kustavi Isokari","2023","4","23","13:00","6.2","6.7","5.9","83","9.8","10.2","160","11.1","0","1006.8"
"Kustavi Isokari","2023","4","23","14:00","6","6.5","5.6","84","9.8","10.8","160","12","0","1006.5"
"Kustavi Isokari","2023","4","23","15:00","6.8","7.8","6","79","9.7","10.5","171","11.2","0","1006.4"
"Kustavi Isokari","2023","4","23","16:00","6.9","7.4","6.3","78","7.9","8.8","171","9.3","0","1006.4"
"Kustavi Isokari","2023","4","23","17:00","6.9","7.2","6.6","77","9.9","11.2","159","11.9","0","1005.7"
"Kustavi Isokari","2023","4","23","18:00","6.7","7.4","6.2","77","10","11.1","158","11.7","0","1004.9"
"Kustavi Isokari","2023","4","23","19:00","6.7","7","6.4","79","9.3","10","157","10.2","0","1004.1"
"Kustavi Isokari","2023","4","23","20:00","6.5","6.8","6.1","80","9.9","10.5","159","11.3","0","1003.3"
"Kustavi Isokari","2023","4","23","21:00","6.4","6.6","6.1","81","9.4","10.5","156","10.9","0","1002.6"
"Kustavi Isokari","2023","4","23","22:00","6.3","6.6","6","82","10","10.7","156","11.3","0","1002"
"Kustavi Isokari","2023","4","23","23:00","6.1","6.7","5.8","83","9.2","10.2","155","10.9","0","1001.4"
"Kustavi Isokari","2023","4","24","00:00","5.8","6.3","5.4","85","9.6","10.2","161","11.1","0.1","1001"
"Kustavi Isokari","2023","4","24","01:00","5.3","5.5","4.9","92","7.7","9.9","140","10.7","1.6","999.7"
"Kustavi Isokari","2023","4","24","02:00","5.4","5.7","5","93","9.4","11","153","12.4","0.2","999.1"
"Kustavi Isokari","2023","4","24","03:00","5","5.4","4.8","93","7.7","9.5","183","9.6","0.4","998.8"
"Kustavi Isokari","2023","4","24","04:00","4.5","5.2","3.6","97","6.8","7.7","230","10","0.3","998.6"
"Kustavi Isokari","2023","4","24","05:00","3.3","3.5","3.2","99","6.8","7.4","244","10.2","0","999.3"
"Kustavi Isokari","2023","4","24","06:00","3","3.2","3","100","6.9","8.3","259","10.9","0","1000.2"
"Kustavi Isokari","2023","4","24","07:00","2.9","3.1","2.6","99","6.7","8.4","264","10.7","0","1000.9"
"Kustavi Isokari","2023","4","24","08:00","2.6","2.8","2.2","99","8.4","9.4","281","11.5","0","1001.8"
"Kustavi Isokari","2023","4","24","09:00","2.3","2.6","2","99","8.3","9.3","301","11.5","0","1002.5"
"Kustavi Isokari","2023","4","24","10:00","1.9","2.1","1.7","99","6.6","7.6","305","9.3","0","1003.8"
"Kustavi Isokari","2023","4","24","11:00","1.9","2.1","1.7","97","6.3","6.8","309","8.5","0","1004.7"
"Kustavi Isokari","2023","4","24","12:00","1.9","2.3","1.7","95","6.1","6.8","317","8.1","0","1005.4"
"Kustavi Isokari","2023","4","24","13:00","2.2","2.5","1.9","92","4.7","5.8","323","7","0","1006.1"
"Kustavi Isokari","2023","4","24","14:00","2.2","2.6","1.9","89","4.8","5.3","310","6.5","0","1006.8"
"Kustavi Isokari","2023","4","24","15:00","2.4","2.8","2.1","88","4.5","5","318","6.5","0","1007.4"
"Kustavi Isokari","2023","4","24","16:00","2.4","2.7","2.2","86","4.5","4.8","335","6.5","0","1007.7"
"Kustavi Isokari","2023","4","24","17:00","2.3","3.1","1.9","85","4.1","5","354","6.6","0","1007.7"
"Kustavi Isokari","2023","4","24","18:00","2.1","2.3","1.8","86","4","4.4","354","6.2","0","1007.5"
"Kustavi Isokari","2023","4","24","19:00","2","2.2","1.8","87","3.8","4.4","360","5.7","0","1007.3"
"Kustavi Isokari","2023","4","24","20:00","1.7","2","1.6","88","3.9","4.5","6","6.2","0","1007.2"
"Kustavi Isokari","2023","4","24","21:00","1.6","1.8","1.4","90","4.6","5.5","11","7.2","0","1006.8"
"Kustavi Isokari","2023","4","24","22:00","1.6","1.7","1.5","90","3.8","4.9","28","7.2","0","1006.9"
"Kustavi Isokari","2023","4","24","23:00","1.8","1.9","1.6","90","1.9","2.4","17","3.4","0","1007.1"
"Kustavi Isokari","2023","4","25","00:00","1.8","1.9","1.7","91","2","2.3","16","3.6","0","1006.7"
"Kustavi Isokari","2023","4","25","01:00","1.9","2.2","1.8","92","3.3","4.5","50","5.6","0","1006.2"
"Kustavi Isokari","2023","4","25","02:00","2.1","2.2","1.9","94","5.4","5.7","64","6.8","0","1005.7"
"Kustavi Isokari","2023","4","25","03:00","2","2.2","1.9","96","5.6","6","62","6.9","0","1005.1"
"Kustavi Isokari","2023","4","25","04:00","2.4","2.6","2","96","5.1","5.5","61","6.5","0","1004.4"
"Kustavi Isokari","2023","4","25","05:00","2.8","2.9","2.6","94","5.5","6.1","55","6.7","0","1003.7"
"Kustavi Isokari","2023","4","25","06:00","3","3","2.9","94","5.7","6.3","55","7.2","0","1002.6"
"Kustavi Isokari","2023","4","25","07:00","3","3.2","2.9","94","5.3","6.6","60","7.9","0.2","1001.9"
"Kustavi Isokari","2023","4","25","08:00","3.2","3.3","3.1","96","5.5","6.2","75","7.1","1.2","1001.5"
"Kustavi Isokari","2023","4","25","09:00","3.7","4.3","3.2","96","7.1","7.5","76","8.3","0.1","1000.8"
"Kustavi Isokari","2023","4","25","10:00","4.5","5","4.2","97","7.2","7.7","98","8.1","0","1000.1"
"Kustavi Isokari","2023","4","25","11:00","5.8","6.5","5","97","7.8","9.3","127","10","0","999.9"
"Kustavi Isokari","2023","4","25","12:00","6.2","6.5","5.8","96","8.7","9.3","142","9.8","0","999.9"
"Kustavi Isokari","2023","4","25","13:00","6.6","7.1","6.2","94","8.5","10.4","159","11.4","0","1000.2"
"Kustavi Isokari","2023","4","25","14:00","6.4","6.9","5.9","95","10","11.4","167","12.1","0","1000.5"
"Kustavi Isokari","2023","4","25","15:00","5.9","6.2","5.7","97","9.6","10.9","158","11.3","0","1000.9"
"Kustavi Isokari","2023","4","25","16:00","5.8","6.1","5.5","98","8.9","9.3","163","9.9","0","1001.2"
"Kustavi Isokari","2023","4","25","17:00","5.6","6.1","5.1","98","9.2","9.9","164","10.8","0.1","1001.3"
"Kustavi Isokari","2023","4","25","18:00","5.2","5.3","5","100","8.4","9.7","156","10.1","0","1001.3"
"Kustavi Isokari","2023","4","25","19:00","5.3","5.4","5.1","100","8.6","8.9","166","9.3","0.1","1001.6"
"Kustavi Isokari","2023","4","25","20:00","5","5.2","4.7","100","7","8","167","8.5","0","1001.8"
"Kustavi Isokari","2023","4","25","21:00","4.7","4.8","4.5","100","5.4","6.3","171","6.5","0.1","1001.9"
"Kustavi Isokari","2023","4","25","22:00","4.6","4.7","4.5","100","5.3","6","162","6.5","0.3","1002"
"Kustavi Isokari","2023","4","25","23:00","4.6","4.8","4.6","100","5.6","6.4","155","7.2","0.9","1002.2"
"Kustavi Isokari","2023","4","26","00:00","4.7","4.8","4.5","100","5.5","6.2","150","6.8","1.3","1002.2"
"Kustavi Isokari","2023","4","26","01:00","4.8","5","4.5","100","4.3","5.9","140","5.9","1.6","1001.8"
"Kustavi Isokari","2023","4","26","02:00","4.7","5.3","4.4","100","3.8","4.4","158","4.7","0.6","1001.6"
"Kustavi Isokari","2023","4","26","03:00","4.8","5.4","4.3","100","4.4","5.1","176","5.3","0.4","1001.4"
"Kustavi Isokari","2023","4","26","04:00","4.6","5","4.4","100","3.9","4.8","167","5.4","0.4","1001"
"Kustavi Isokari","2023","4","26","05:00","4.5","4.6","4.3","100","4.6","5.5","144","5.8","0.4","1000.8"
"Kustavi Isokari","2023","4","26","06:00","4.6","4.7","4.4","100","5.6","6","154","6.3","0","1000.7"
"Kustavi Isokari","2023","4","26","07:00","4.5","4.6","4.3","99","5.8","6.6","167","7.2","0.2","1000.5"
"Kustavi Isokari","2023","4","26","08:00","4.3","4.4","4.2","99","6.7","7.1","168","7.5","0.1","1000.5"
"Kustavi Isokari","2023","4","26","09:00","4.1","4.3","3.9","99","6.4","7","163","7.8","0","1000.7"
"Kustavi Isokari","2023","4","26","10:00","3.7","3.9","3.5","100","7.4","8.6","158","10.1","0","1000.7"
"Kustavi Isokari","2023","4","26","11:00","3.7","3.9","3.4","99","8.1","9.1","154","10.1","0","1001.1"
"Kustavi Isokari","2023","4","26","12:00","4","4.2","3.9","100","7.9","8.4","158","9.6","0","1001.4"
"Kustavi Isokari","2023","4","26","13:00","4.2","4.3","4.1","99","8.2","8.7","160","9.7","0","1001.8"
"Kustavi Isokari","2023","4","26","14:00","4.4","4.6","4.3","99","8.1","8.6","153","9.1","0","1001.8"
"Kustavi Isokari","2023","4","26","15:00","4.6","4.7","4.5","99","8.3","9","148","9.8","0","1002.1"
"Kustavi Isokari","2023","4","26","16:00","4.6","4.7","4.5","99","7.4","8.2","152","8.8","0","1002.4"
"Kustavi Isokari","2023","4","26","17:00","4.7","4.9","4.6","98","7.5","7.9","154","8.6","0","1002.6"
"Kustavi Isokari","2023","4","26","18:00","4.6","4.8","4.4","96","-","-","-","-","0","1002.9"
"Kustavi Isokari","2023","4","26","19:00","4.3","4.5","4.2","96","9","9.3","161","10.4","0","1003.1"
"Kustavi Isokari","2023","4","26","20:00","4","4.2","3.9","93","8.6","9.6","160","10.8","0","1003.3"
